n_updates,policy_loss,policy_entropy,ep_reward_mean,fps,approxkl,explained_variance,clipfrac,time_elapsed,value_loss,total_timesteps,serial_timesteps,ep_len_mean
152,-0.003661962,0.73327255,75.96367929071188,39,0.017284293,0.8197117745876312,0.1798125,29152.73913860321,33.233765,1216000,304000,54.98
153,-0.00041470432,0.78888375,82.62883616998792,42,0.01696471,0.7352059185504913,0.15768752,29355.35969567299,31.321249,1224000,306000,59.18
154,-3.6280944e-05,0.78648,74.29482804257422,38,0.01147744,0.9276203736662865,0.11678124,29545.840674638748,19.22492,1232000,308000,60.61
155,-0.0039072135,0.88141716,79.22350279599428,40,0.012871595,0.9097943976521492,0.13724999,29751.517145633698,29.781225,1240000,310000,71.99
156,-0.0046004327,0.81930816,77.3556125741452,39,0.017800217,0.8032999336719513,0.18165623,29948.112269878387,30.78132,1248000,312000,64.73
157,-0.0037209592,0.9197034,76.6228792925179,46,0.019414214,0.9012419953942299,0.18865626,30149.481159210205,29.225992,1256000,314000,72.1
158,-0.00180084,0.7065652,84.20259113065899,43,0.016451625,0.8978021219372749,0.15528128,30322.96921992302,22.92443,1264000,316000,62.86
159,-0.0043549435,0.6278738,90.03059777311981,40,0.011882511,0.8235126584768295,0.12018752,30504.88973593712,15.801422,1272000,318000,55.68
160,-0.0011945065,0.7697033,77.522613992244,42,0.014351315,0.7480701506137848,0.1481875,30703.77291250229,34.854774,1280000,320000,64.01
161,0.008903109,0.66298324,83.17651651721448,37,0.04880568,0.8249583095312119,0.29837498,30893.168132781982,21.885206,1288000,322000,56.17
162,0.002425461,0.7336943,79.85339644592256,39,0.014884902,0.8304795026779175,0.1528125,31104.535611629486,33.946682,1296000,324000,57.8
163,-0.00021619695,0.78092,80.81842036124318,42,0.016036898,0.8995662033557892,0.15534376,31305.013097286224,22.25429,1304000,326000,64.16
164,-0.0010676832,0.69359785,82.19301754489541,38,0.009402949,0.7892584353685379,0.10071874,31495.199500322342,32.917156,1312000,328000,62.46
165,-0.002616259,0.8831922,80.53595645532012,43,0.014015584,0.8345221728086472,0.15040624,31700.470520973206,33.73024,1320000,330000,70.39
166,9.475662e-05,0.8500606,77.95683266639709,40,0.012857613,0.7047231495380402,0.14956251,31884.06557226181,53.88447,1328000,332000,68.5
167,-0.0031277898,0.759424,68.862076895684,37,0.014207116,0.7474169433116913,0.15425001,32079.42387032509,38.688213,1336000,334000,53.88
168,-0.0062933625,0.78611666,80.03362595889718,42,0.023534272,0.8154131174087524,0.18496878,32294.87122106552,20.474144,1344000,336000,63.59
169,-0.0013527458,0.7236301,84.67478670116515,39,0.015320758,0.8355322927236557,0.15053126,32482.089201450348,35.147778,1352000,338000,58.99
170,-0.0023145108,0.6989344,91.85268886119127,40,0.016147498,0.7569802105426788,0.16749999,32683.405916690826,20.798925,1360000,340000,68.71
171,-0.0016271148,0.84811527,90.06859900493174,47,0.016084252,0.8981597349047661,0.17309374,32879.75910282135,15.556006,1368000,342000,79.61
172,-0.0006637221,0.63431454,86.64706721182912,46,0.018999506,0.8576037883758545,0.15178125,33049.75311112404,9.999173,1376000,344000,59.84
173,-0.0027789827,0.637077,87.77294185843319,39,0.023740433,0.7954220026731491,0.17306252,33222.75333046913,20.340624,1384000,346000,59.74
174,-0.0033004696,0.74521756,95.3308515407145,38,0.013578163,0.8845879584550858,0.13193749,33424.266238451004,19.290619,1392000,348000,70.75
175,-0.0019353132,0.8022875,77.93767181128264,38,0.014693283,0.9112557023763657,0.1485625,33631.60843157768,24.059204,1400000,350000,63.75
176,-0.0003772207,0.77756876,85.72876978415997,43,0.014922538,0.85157310962677,0.16906253,33837.031631946564,21.736471,1408000,352000,63.39
177,-0.0042295908,0.7649504,94.16832220058888,43,0.0070556733,0.9185744822025299,0.08690624,34022.32522249222,12.064743,1416000,354000,74.34
178,-0.0064133196,0.6880469,81.55115796726197,39,0.01254198,0.6591743528842926,0.1246875,34207.42759823799,47.48937,1424000,356000,55.18
179,-0.0031003645,0.6251177,91.00974298011512,38,0.013839538,0.902449406683445,0.1339375,34410.701389074326,13.543642,1432000,358000,59.41
180,0.0022775284,0.75680274,82.1147103631869,40,0.01526814,0.8932692259550095,0.14012498,34616.6742208004,23.769596,1440000,360000,66.58
